Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
HCFC2,29915,no,no,yes,no,no,no,no,1
GPR171,29909,no,no,yes,no,no,no,no,1
SNX15,29907,no,no,yes,no,no,no,no,1
GULOP,2989,no,no,no,yes,no,no,no,1
NPC1L1,29881,no,no,yes,no,no,no,no,1
TFPT,29844,no,no,yes,no,no,no,no,1
ABT1,29777,no,no,no,no,no,no,yes,1
CARD10,29775,no,no,yes,no,no,no,no,1
GUCY1A2,2977,no,yes,no,no,no,no,no,1
TMOD2,29767,no,no,yes,no,no,no,no,1
MSH6,2956,no,no,yes,no,no,no,no,1
GSTT2,2953,no,yes,no,no,no,no,no,1
GSS,2937,no,no,no,no,yes,no,no,1
GSR,2936,no,no,no,no,yes,no,no,1
GSN,2934,yes,no,no,no,no,no,no,1
GSK3B,2932,no,no,no,no,yes,no,no,1
GSC2,2928,no,yes,no,no,no,no,no,1
SLC25A5,292,no,no,yes,no,no,no,no,1
GRM7,2917,no,no,no,no,yes,no,no,1
GRM5,2915,yes,no,no,no,no,no,no,1
C11orf21,29125,no,no,yes,no,no,no,no,1
PRSS50,29122,no,no,yes,no,no,no,no,1
NR3C1,2908,no,no,yes,no,no,no,no,1
WDR91,29062,no,no,yes,no,no,no,no,1
C16orf72,29035,no,yes,no,no,no,no,no,1
GRIN2A,2903,no,no,no,yes,no,no,no,1
GRIN1,2902,no,no,no,no,yes,no,no,1
GRIK4,2900,no,no,no,no,yes,no,no,1
COMMD5,28991,no,no,yes,no,no,no,no,1
GRIK3,2899,no,no,no,no,yes,no,no,1
MCTS1,28985,no,no,yes,no,no,no,no,1
FLVCR1,28982,no,no,yes,no,no,no,no,1
GRIK2,2898,no,yes,no,no,no,no,no,1
SLC27A6,28965,no,no,yes,no,no,no,no,1
TRIB2,28951,no,no,yes,no,no,no,no,1
GRID1,2894,no,no,no,no,yes,no,no,1
GRB10,2887,no,no,yes,no,no,no,no,1
ANK3,288,yes,no,no,no,no,no,no,1
GPX5,2880,no,no,no,yes,no,no,no,1
MKNK2,2872,no,no,yes,no,no,no,no,1
FFAR1,2864,no,no,yes,no,no,no,no,1
TRBC1,28639,no,no,yes,no,no,no,no,1
LOC286382,286382,no,no,yes,no,no,no,no,1
MICU3,286097,no,no,yes,no,no,no,no,1
DLX6-AS1,285987,no,no,yes,no,no,no,no,1
TCAF2,285966,no,no,yes,no,no,no,no,1
WEE2-AS1,285962,no,no,yes,no,no,no,no,1
LOC285957,285957,no,no,yes,no,no,no,no,1
CNPY1,285888,no,no,yes,no,no,no,no,1
